t(s),T1_ext,T2_ext,T3_ext,T4_ext,T1,T2,T3,T4,P1,P2,P3,P4,H1,H2,H3,H4,Turb1_180,Turb2_180,Turb3_180,Turb4_180,Turb1_90,Turb2_90,Turb3_90,Turb4_90,Turb1_ref,Turb2_ref,Turb3_ref,Turb4_ref
83616.376,25.25,25.25,25.25,25.187,24.5572265625,24.7890625,24.848828125,27.9990234375,1011.346893808213,1011.8957903898917,1010.8312930069199,1010.9376973195546,92.08978037525131,100,92.45403677246273,77.906966451265,4.009247352519303,3.934745078890347,3.804866115298929,3.8187415387432475,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83646.378,25.25,25.25,25.187,25.187,24.5572265625,24.8095703125,24.848828125,28.0091796875,1011.3820849309404,1011.855960849708,1010.7939825290227,1010.9662233144148,92.68582368760507,100,92.5729835405615,77.76466731893649,3.9763713492233044,3.9534956511123993,3.863492904446547,3.801991027558214,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83676.38,25.25,25.25,25.25,25.187,24.5623046875,24.804296875,24.848828125,28.0091796875,1011.3601676982295,1011.8772667803014,1010.8089648519509,1010.9775132171737,92.38295212717674,100,92.30749534611047,77.56385637762351,4.0034971770378736,3.974996307260353,3.8501174962614826,3.8236166875209814,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83706.382,25.25,25.25,25.25,25.187,24.5623046875,24.79921875,24.84375,28.0142578125,1011.3198175893007,1011.8612873311349,1010.8022174581826,1010.9909374427066,92.49652283145844,100,92.24301506350763,78.32830270009595,3.969996154667806,3.9639959715567494,3.8357420575579093,3.870243110446486,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83736.384,25.25,25.25,25.187,25.187,24.5673828125,24.8095703125,24.848828125,27.9939453125,1011.2780558413964,1011.8194435515884,1010.7686796160683,1010.9192393353271,92.37031624625197,100,92.31506676456786,78.00775800146215,4.012997466963713,3.9418702963347267,3.8136163823358866,3.8403671987060153,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83766.386,25.25,25.25,25.25,25.187,24.5572265625,24.8095703125,24.85390625,28.0041015625,1011.3403227222684,1011.8674459880117,1010.8211717471153,1010.9894874271781,92.5538878705015,100,92.25001528426914,78.01408679652988,3.994996917630543,3.9287448957792903,3.8162414624469743,3.825866756187628,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83796.388,25.25,25.25,25.25,25.187,24.5673828125,24.8146484375,24.848828125,28.0041015625,1011.3592156730089,1011.8301597282126,1010.7688786183024,1010.9475370780578,92.43915679829273,100,92.44345635263502,77.71762959210514,3.9488705099642933,3.9459954222235787,3.865867976928007,3.8442423169652393,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83826.39,25.25,25.25,25.25,25.187,24.5673828125,24.8095703125,24.848828125,27.9990234375,1011.3692704431523,1011.8524098625428,1010.8262323766498,1010.9695793153458,92.3255828210277,100,92.33794444382269,77.88917939131323,3.9942468947416607,3.972996246223335,3.8461173741874446,3.842367259743034,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83856.391,25.25,25.25,25.25,25.187,24.5673828125,24.804296875,24.848828125,28.1056640625,1011.3290513799897,1011.8656067361469,1010.8093636143931,1010.9727803002893,92.58888991240373,100,92.34966815531507,77.58363009371534,3.962870937223426,3.949745536667989,3.807366191595203,3.819866573076571,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83886.392,25.25,25.25,25.25,25.187,24.5673828125,24.8146484375,24.838671875,28.0345703125,1011.4027863645891,1011.9188720251057,1010.8513358664252,1011.0331979534891,92.87628712080863,100,92.24301506350763,77.84493091064736,3.9402452467421494,3.9374951628162482,3.8412422254097107,3.834367015594958,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83916.397,25.25,25.25,25.25,25.187,24.5673828125,24.8146484375,24.848828125,28.248046875,1011.3492927401275,1011.8407496291686,1010.762131123528,1010.8785581849552,92.6927292011607,100,92.33851457456647,77.43925902961604,3.98437159337138,3.956745750297556,3.8457423627430036,3.841617236854152,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83946.399,25.25,25.25,25.25,25.187,24.5673828125,24.804296875,24.85390625,28.3193359375,1011.3122934507086,1011.8131094254907,1010.7355383030485,1010.8985385665147,92.33015859646997,100,92.39184225045962,77.01271786828657,3.9819965208899197,3.9653710135197,3.8403671987060153,3.8146164128543965,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83976.401,25.25,25.25,25.25,25.187,24.5724609375,24.8146484375,24.8642578125,28.3548828125,1011.3040459618576,1011.818561001464,1010.726706797404,1010.8964140262475,92.66861496621966,100,92.39184225045962,76.44598693153178,3.989496749778741,3.942245307779168,3.8058661458174385,3.868993072298349,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
84006.402,25.25,25.25,25.25,25.187,24.5673828125,24.8095703125,24.85390625,28.3904296875,1011.2554476358376,1011.7695506274999,1010.683244459807,1010.818545690184,92.52063440572952,100,91.94630757441286,76.84046813916247,3.9904967802972506,3.9412452772606588,3.865492965483566,3.8078662068544573,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
84036.404,25.25,25.25,25.25,25.187,24.5828125,24.8146484375,24.85390625,28.3345703125,1011.2754260346645,1011.8017511761022,1010.7152955157077,1010.8659325575715,92.41224025556144,100,92.42815566378233,76.76421368438119,3.9837465742973115,3.9331200292977693,3.8667430036317025,3.861492843409528,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
84066.406,25.25,25.25,25.25,25.187,24.5673828125,24.8095703125,24.858984375,28.176953125,1011.2403654105124,1011.7751181795371,1010.6845350275559,1010.8239765606663,92.5321076704586,100,92.3449466868051,77.29847721431223,3.9867466658528397,3.9734962614825893,3.8719931638538774,3.80899124118778,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
84096.408,25.25,25.25,25.25,25.187,24.5673828125,24.804296875,24.84375,28.156640625,1011.2582096003866,1011.7733426471567,1010.6828481578239,1010.8330677266822,92.5252054752453,100,92.5618330999599,77.75959333084525,4.001872127445296,3.955745719779046,3.8057411420026246,3.82424170659505,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
84126.41,25.25,25.25,25.25,25.187,24.5724609375,24.804296875,24.84375,28.1515625,1011.2539027976345,1011.7467096723082,1010.6879087672651,1010.8471926759989,92.58315344865454,100,92.36196221849252,77.23087458807768,4.008622333445234,3.9309949644459365,3.8584927518539995,3.8367420880764187,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
84156.412,25.25,25.25,25.25,25.187,24.5673828125,24.804296875,24.85390625,28.14140625,1011.1744209000102,1011.6728436508223,1010.6238077686602,1010.7536683447986,92.51431510823116,100,92.25058443076001,77.39540182430225,3.9671210669270915,4.009747367778558,3.8187415387432475,3.8747432477797785,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
84186.414,25.25,25.25,25.25,25.187,24.5673828125,24.8095703125,24.85390625,28.1158203125,1011.2045848089308,1011.7040969548989,1010.6659794649956,1010.8063945433038,92.66346303647079,100,92.75411077770843,77.43020538078297,4.002622150334178,3.9362451246681114,3.81949156163213,3.8431172826319164,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
84216.417,25.25,25.25,25.25,25.187,24.5673828125,24.8146484375,24.85390625,28.1056640625,1011.2402344466536,1011.7146888596716,1010.6588356495542,1010.8224264663759,92.47474094914604,100,92.35552999549232,77.10833303023598,4.013122470778527,3.957745780816065,3.8456173589281897,3.7961158482619712,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
